# iSurf Session Log
# session: synth001
# date: 20260602_165920
# mode: Standard
# devMode: false
# sampleRate: 50 Hz
# --- 6 Parameters ---
# minSpeed(m/s): 4.17
# takeoffG(g): 1.50
# landingG(g): 2.00
# minAirtime(s): 0.50
# maxAirtime(s): 8.00
# cooldown(s): 1.50
# --- Columns ---
# ax/ay/az = userAcceleration (g, gravity removed)
# gx/gy/gz = gyroscope (rad/s)
# gvX/gvY/gvZ = gravity vector (g)
# baro = barometric pressure (hPa)
# baseBaro = rolling baseline pressure (hPa)
# spd = GPS speed (m/s)
# lowG = consecutive low-g sample count
# -----------------------
idx,t,ax,ay,az,aM,gx,gy,gz,gM,gvX,gvY,gvZ,baro,baseBaro,spd,lowG,state,evt
408,8.140,-0.007,-0.008,0.131,0.132,0.084,-0.068,-0.123,0.164,-0.005,-0.015,-0.997,1013.27,1013.25,8.30,0,RIDING,
409,8.160,-0.004,-0.042,0.070,0.082,0.118,0.072,0.057,0.150,-0.000,0.011,-0.994,1013.23,1013.25,8.69,0,RIDING,
410,8.180,-0.003,0.043,-0.056,0.070,0.039,0.073,-0.018,0.084,0.009,0.009,-1.010,1013.28,1013.25,8.01,0,RIDING,
411,8.200,0.136,0.009,-0.134,0.191,-0.066,0.042,-0.013,0.080,-0.001,0.009,-1.007,1013.30,1013.25,8.05,0,RIDING,
412,8.220,0.053,-0.028,0.027,0.066,0.016,0.108,-0.060,0.125,-0.011,0.001,-0.978,1013.29,1013.25,8.88,0,RIDING,
413,8.240,0.082,-0.231,-0.018,0.245,-0.083,0.015,-0.035,0.091,0.003,-0.005,-1.009,1013.22,1013.25,8.26,0,RIDING,
414,8.260,-0.018,0.032,-0.067,0.076,0.054,-0.081,0.020,0.099,-0.006,-0.006,-1.013,1013.23,1013.25,8.96,0,RIDING,
415,8.280,0.154,0.048,-0.084,0.182,-0.016,-0.047,0.074,0.089,0.002,0.009,-1.000,1013.27,1013.25,7.91,0,RIDING,
416,8.300,0.037,-0.009,0.016,0.041,0.010,-0.034,0.017,0.040,-0.007,-0.010,-0.998,1013.26,1013.25,8.49,0,RIDING,
417,8.320,0.064,-0.188,-0.042,0.203,0.066,0.044,-0.035,0.087,-0.008,0.019,-1.004,1013.32,1013.25,8.21,0,RIDING,
418,8.340,-0.017,-0.128,-0.079,0.151,-0.057,-0.007,-0.089,0.106,-0.006,-0.006,-0.993,1013.30,1013.25,8.40,0,RIDING,
419,8.360,0.119,-0.032,0.126,0.176,0.078,0.065,0.015,0.103,-0.004,0.002,-1.018,1013.18,1013.25,8.70,0,RIDING,
420,8.380,-0.022,0.018,-0.073,0.078,0.014,0.081,0.011,0.083,-0.021,-0.009,-0.996,1013.22,1013.25,9.20,0,RIDING,
421,8.400,-0.046,-0.179,0.020,0.185,0.040,-0.039,0.071,0.091,-0.015,-0.000,-0.984,1013.27,1013.25,8.85,0,RIDING,
422,8.420,0.157,0.103,-0.000,0.188,0.009,-0.031,0.053,0.062,-0.020,-0.015,-0.983,1013.22,1013.25,8.54,0,RIDING,
423,8.440,0.005,0.017,-0.171,0.172,-0.002,0.101,-0.073,0.125,-0.005,-0.002,-1.012,1013.13,1013.25,8.45,0,RIDING,
424,8.460,-0.106,-0.096,0.050,0.152,-0.002,0.040,-0.053,0.066,0.001,0.009,-1.000,1013.28,1013.25,8.37,0,RIDING,
425,8.480,-0.027,-0.130,0.005,0.133,0.038,-0.031,-0.003,0.049,0.004,0.013,-1.003,1013.16,1013.25,8.11,0,RIDING,
426,8.500,-0.131,-0.030,-0.122,0.182,-0.013,0.094,0.015,0.097,-0.004,0.003,-0.998,1013.24,1013.25,8.80,0,RIDING,
427,8.520,0.035,-0.115,0.056,0.133,0.043,-0.112,-0.133,0.179,0.000,0.007,-0.995,1013.21,1013.25,8.94,0,RIDING,
428,8.540,0.070,-0.050,-0.046,0.097,0.018,0.030,0.028,0.045,0.011,0.005,-0.990,1013.27,1013.25,8.36,0,RIDING,
429,8.560,-0.200,0.079,-0.192,0.288,0.010,-0.033,0.006,0.035,0.002,0.003,-1.008,1013.23,1013.25,8.41,0,RIDING,
430,8.580,-0.199,-0.061,0.043,0.213,-0.042,0.021,-0.018,0.050,0.016,-0.001,-1.000,1013.20,1013.25,8.85,0,RIDING,
431,8.600,0.076,-0.105,-0.069,0.146,0.056,0.044,-0.024,0.075,-0.014,-0.005,-1.002,1013.21,1013.25,8.60,0,RIDING,
432,8.620,-0.195,0.047,0.060,0.209,0.053,-0.071,-0.063,0.109,0.020,-0.010,-1.003,1013.21,1013.25,8.11,0,RIDING,
433,8.640,0.016,0.036,0.115,0.122,-0.054,0.044,0.007,0.070,-0.014,0.016,-1.007,1013.19,1013.25,8.54,0,RIDING,
434,8.660,0.080,0.103,-0.049,0.139,-0.044,0.006,-0.052,0.069,-0.008,-0.007,-0.993,1013.29,1013.25,8.55,0,RIDING,
435,8.680,-0.115,0.134,-0.062,0.187,-0.010,-0.046,0.081,0.093,0.006,0.001,-0.983,1013.29,1013.25,8.89,0,RIDING,
436,8.700,0.053,0.035,0.046,0.078,0.037,0.014,-0.008,0.040,-0.013,-0.021,-1.007,1013.17,1013.25,9.11,0,RIDING,
437,8.720,0.154,0.097,-0.048,0.188,0.013,-0.001,-0.099,0.100,0.012,-0.012,-1.022,1013.23,1013.25,8.59,0,RIDING,
438,8.740,-0.126,0.026,0.006,0.129,0.007,0.007,-0.018,0.021,0.004,0.006,-0.988,1013.18,1013.25,8.64,0,RIDING,
439,8.760,-0.099,-0.187,-0.142,0.255,0.107,-0.046,0.020,0.118,0.032,-0.005,-1.002,1013.25,1013.25,8.72,0,RIDING,
440,8.780,-0.048,0.020,0.042,0.066,-0.048,0.066,0.057,0.100,-0.002,-0.016,-0.993,1013.27,1013.25,8.47,0,RIDING,
441,8.800,-0.078,-0.040,0.080,0.118,-0.046,-0.026,0.043,0.068,0.011,-0.007,-0.996,1013.34,1013.25,8.29,0,RIDING,
442,8.820,0.039,-0.091,0.082,0.129,0.090,0.003,0.013,0.091,0.001,-0.013,-0.992,1013.19,1013.25,9.04,0,RIDING,
443,8.840,-0.117,-0.055,-0.171,0.214,0.069,0.111,-0.032,0.134,-0.006,0.006,-0.985,1013.22,1013.25,8.33,0,RIDING,
444,8.860,-0.081,0.035,-0.144,0.169,0.076,-0.004,-0.035,0.084,0.014,0.011,-0.983,1013.33,1013.25,8.47,0,RIDING,
445,8.880,-0.064,0.005,0.029,0.071,-0.010,0.076,-0.036,0.085,-0.020,-0.010,-1.009,1013.30,1013.25,8.91,0,RIDING,
446,8.900,-0.044,0.031,-0.014,0.055,0.004,-0.023,-0.004,0.024,-0.008,-0.001,-1.008,1013.27,1013.25,8.72,0,RIDING,
447,8.920,-0.014,-0.115,0.076,0.139,0.034,-0.006,-0.034,0.048,-0.015,0.016,-0.967,1013.23,1013.25,8.30,0,RIDING,
448,8.940,-0.098,-0.093,0.046,0.143,0.030,-0.079,-0.096,0.128,0.014,-0.005,-0.999,1013.28,1013.25,7.90,0,RIDING,
449,8.960,-0.000,-0.045,-0.011,0.046,-0.015,0.062,-0.005,0.064,-0.006,-0.007,-1.000,1013.25,1013.25,8.34,0,RIDING,
450,8.980,0.147,0.089,0.019,0.173,0.083,0.051,0.010,0.098,0.002,-0.003,-1.016,1013.24,1013.25,8.17,0,RIDING,
451,9.000,-0.103,0.155,0.017,0.187,0.025,0.010,-0.023,0.035,-0.003,0.005,-0.990,1013.27,1013.25,8.83,0,RIDING,
452,9.020,-0.039,0.014,-0.059,0.072,0.030,-0.018,0.057,0.067,-0.003,-0.008,-1.009,1013.21,1013.25,9.01,0,RIDING,
453,9.040,0.053,-0.068,0.144,0.168,0.064,0.026,-0.071,0.099,-0.018,0.004,-0.978,1013.25,1013.25,8.28,0,RIDING,
454,9.060,-0.043,0.065,0.103,0.129,-0.048,-0.017,0.013,0.053,0.002,-0.001,-0.990,1013.27,1013.25,8.16,0,RIDING,
455,9.080,-0.128,-0.045,-0.040,0.141,-0.016,0.036,-0.031,0.050,0.008,0.010,-0.990,1013.39,1013.25,8.29,0,RIDING,
456,9.100,-0.016,-0.066,-0.020,0.071,0.033,0.006,0.029,0.045,-0.009,0.014,-1.005,1013.28,1013.25,8.23,0,RIDING,
457,9.120,-0.127,0.149,-0.067,0.206,-0.047,0.048,-0.057,0.088,-0.008,0.025,-0.999,1013.21,1013.25,8.81,0,RIDING,
458,9.140,0.215,0.010,0.004,0.215,-0.032,-0.011,-0.025,0.042,-0.013,-0.009,-1.021,1013.25,1013.25,8.73,0,RIDING,
459,9.160,0.120,-0.006,-0.001,0.120,-0.003,0.050,0.016,0.053,-0.001,-0.001,-1.019,1013.29,1013.25,8.45,0,RIDING,
460,9.180,0.087,-0.126,-0.080,0.173,0.034,0.003,0.041,0.053,0.014,-0.002,-0.980,1013.34,1013.25,9.06,0,RIDING,
461,9.200,-0.070,-0.007,0.080,0.107,-0.011,-0.006,-0.018,0.021,0.013,0.011,-1.001,1013.32,1013.25,7.76,0,RIDING,
462,9.220,0.045,-0.077,0.089,0.126,0.153,-0.046,0.070,0.174,-0.005,-0.002,-1.013,1013.25,1013.25,8.40,0,RIDING,
463,9.240,-0.109,0.133,-0.001,0.172,0.028,0.016,0.024,0.040,0.006,0.010,-1.011,1013.17,1013.25,8.22,0,RIDING,
464,9.260,-0.046,-0.085,0.052,0.110,0.017,0.002,-0.032,0.037,-0.007,0.003,-1.007,1013.27,1013.25,8.51,0,RIDING,
465,9.280,0.076,0.050,-0.055,0.106,0.029,0.003,-0.035,0.046,-0.011,0.003,-0.988,1013.20,1013.25,8.00,0,RIDING,
466,9.300,-0.050,0.013,0.028,0.059,0.039,0.022,0.061,0.076,0.004,-0.023,-1.002,1013.29,1013.25,8.27,0,RIDING,
467,9.320,0.002,0.046,-0.024,0.052,0.042,0.066,-0.042,0.089,0.005,0.001,-0.992,1013.22,1013.25,8.58,0,RIDING,
468,9.340,-0.095,0.062,0.093,0.147,0.056,0.021,-0.012,0.061,-0.016,-0.006,-1.000,1013.27,1013.25,8.48,0,RIDING,
469,9.360,-0.041,-0.075,-0.019,0.087,-0.019,0.003,-0.002,0.019,0.001,0.004,-1.012,1013.26,1013.25,8.80,0,RIDING,
470,9.380,-0.236,-0.032,0.054,0.244,-0.017,-0.031,-0.062,0.071,0.002,0.011,-0.995,1013.29,1013.25,8.34,0,RIDING,
471,9.400,0.179,-0.011,0.076,0.195,0.035,-0.033,0.002,0.048,0.003,-0.008,-0.983,1013.22,1013.25,8.19,0,RIDING,
472,9.420,-0.059,-0.044,0.007,0.074,-0.026,0.003,-0.030,0.040,-0.013,0.015,-0.996,1013.18,1013.25,7.78,0,RIDING,
473,9.440,0.012,-0.037,-0.012,0.041,0.015,-0.069,-0.040,0.081,-0.011,0.012,-1.005,1013.21,1013.25,8.88,0,RIDING,
474,9.460,0.218,-0.006,0.003,0.218,0.068,0.044,0.047,0.093,0.017,-0.001,-1.005,1013.20,1013.25,8.84,0,RIDING,
475,9.480,-0.087,0.081,0.024,0.122,0.000,-0.062,0.081,0.102,0.015,-0.010,-0.991,1013.29,1013.25,8.49,0,RIDING,
476,9.500,-0.080,0.113,-0.022,0.140,0.061,-0.021,0.020,0.068,0.001,-0.008,-0.991,1013.31,1013.25,8.23,0,RIDING,
477,9.520,-0.048,-0.030,-0.016,0.059,0.058,-0.052,-0.001,0.078,-0.008,-0.002,-0.998,1013.23,1013.25,8.34,0,RIDING,
478,9.540,-0.124,0.019,-0.095,0.157,0.001,0.114,-0.048,0.124,0.010,-0.005,-1.018,1013.25,1013.25,8.42,0,RIDING,
479,9.560,-0.129,0.014,0.020,0.131,0.053,-0.027,0.033,0.068,-0.001,-0.007,-0.998,1013.20,1013.25,8.89,0,RIDING,
480,9.580,0.139,-0.068,-0.099,0.184,-0.051,-0.058,-0.003,0.077,0.002,0.012,-1.003,1013.27,1013.25,8.45,0,RIDING,
481,9.600,-0.100,-0.183,0.019,0.209,-0.034,-0.012,0.020,0.042,-0.010,0.001,-1.001,1013.27,1013.25,8.03,0,RIDING,
482,9.620,0.092,-0.040,-0.165,0.193,0.059,-0.082,-0.049,0.112,0.025,0.002,-0.995,1013.27,1013.25,8.18,0,RIDING,
483,9.640,-0.035,0.177,0.043,0.186,-0.036,0.063,-0.084,0.111,0.001,-0.010,-0.984,1013.22,1013.25,8.59,0,RIDING,
484,9.660,0.118,-0.075,0.030,0.143,-0.032,-0.022,0.049,0.062,0.001,-0.012,-0.988,1013.26,1013.25,8.47,0,RIDING,
485,9.680,-0.060,0.105,-0.037,0.126,-0.023,0.074,0.010,0.078,0.006,0.019,-0.994,1013.22,1013.25,8.34,0,RIDING,
486,9.700,-0.031,-0.090,-0.054,0.109,-0.006,0.012,-0.033,0.035,-0.007,0.005,-0.995,1013.31,1013.25,8.21,0,RIDING,
487,9.720,-0.031,0.077,-0.113,0.140,0.082,0.109,0.098,0.168,0.001,0.013,-1.002,1013.26,1013.25,9.09,0,RIDING,
488,9.740,0.016,0.042,-0.140,0.147,-0.010,0.086,-0.146,0.170,0.003,0.002,-0.986,1013.27,1013.25,8.78,0,RIDING,
489,9.760,0.027,-0.151,-0.076,0.171,-0.015,0.007,-0.022,0.028,-0.029,0.012,-0.991,1013.24,1013.25,9.00,0,RIDING,
490,9.780,0.048,0.001,0.005,0.048,0.018,0.012,-0.036,0.042,-0.000,-0.004,-1.012,1013.29,1013.25,8.25,0,RIDING,
491,9.800,0.048,-0.006,-0.093,0.105,-0.004,-0.069,0.072,0.099,-0.006,0.007,-1.010,1013.28,1013.25,9.10,0,RIDING,
492,9.820,-0.068,-0.007,0.033,0.076,0.046,-0.013,0.055,0.073,-0.002,-0.009,-0.983,1013.30,1013.25,8.24,0,RIDING,
493,9.840,-0.044,0.071,0.073,0.111,-0.013,-0.024,0.017,0.032,-0.010,0.003,-0.998,1013.21,1013.25,8.12,0,RIDING,
494,9.860,0.140,-0.146,0.040,0.206,-0.057,0.058,0.035,0.088,-0.004,-0.005,-1.010,1013.26,1013.25,8.94,0,RIDING,
495,9.880,-0.052,0.009,0.054,0.075,0.064,-0.013,-0.036,0.075,-0.005,-0.004,-1.009,1013.23,1013.25,8.37,0,RIDING,
496,9.900,-0.004,-0.041,-0.013,0.043,-0.069,0.007,0.028,0.075,-0.011,-0.013,-1.012,1013.28,1013.25,8.34,0,RIDING,
497,9.920,-0.051,-0.025,-0.141,0.152,0.033,-0.076,-0.034,0.090,0.018,-0.004,-1.003,1013.21,1013.25,8.75,0,RIDING,
498,9.940,-0.031,-0.016,-0.013,0.037,0.122,-0.054,-0.005,0.134,-0.005,0.006,-1.011,1013.21,1013.25,8.61,0,RIDING,
499,9.960,0.167,0.017,-0.140,0.219,0.035,-0.023,-0.057,0.071,0.007,-0.005,-0.991,1013.27,1013.25,8.35,0,RIDING,
500,9.980,0.012,0.028,0.012,0.033,-0.018,-0.018,0.022,0.034,0.022,0.017,-1.011,1013.29,1013.25,8.38,0,RIDING,
501,10.000,0.086,-0.006,0.018,0.088,-0.039,0.082,-0.041,0.099,0.019,0.012,-1.013,1013.25,1013.25,8.29,0,RIDING,
502,10.020,-0.035,0.029,-0.034,0.057,-0.017,-0.053,0.012,0.057,0.024,-0.003,-0.984,1013.20,1013.25,8.75,0,RIDING,
503,10.040,0.029,-0.053,-0.027,0.066,-0.047,0.006,0.035,0.059,-0.012,-0.001,-0.983,1013.30,1013.25,8.42,0,RIDING,
504,10.060,0.022,-0.005,-0.163,0.165,-0.021,0.027,-0.047,0.058,-0.009,-0.006,-1.001,1013.32,1013.25,8.33,0,RIDING,
505,10.080,0.079,-0.044,-0.141,0.167,-0.004,0.026,0.076,0.080,0.007,0.004,-1.008,1013.19,1013.25,8.94,0,RIDING,
506,10.100,-0.069,-0.075,0.073,0.126,0.011,0.053,0.090,0.104,0.019,-0.013,-1.004,1013.25,1013.25,8.49,0,RIDING,
507,10.120,-0.029,-0.029,0.011,0.043,-0.041,0.057,-0.067,0.097,-0.014,0.006,-0.994,1013.21,1013.25,8.00,0,RIDING,
508,10.140,-0.015,0.066,0.049,0.084,-0.028,-0.002,0.018,0.034,0.004,0.005,-0.988,1013.35,1013.25,8.37,0,RIDING,
509,10.160,0.033,0.084,-0.084,0.124,-0.013,-0.095,-0.002,0.096,0.001,0.003,-0.999,1013.36,1013.25,8.57,0,RIDING,
510,10.180,-0.103,-0.054,-0.013,0.118,0.008,-0.042,-0.005,0.043,-0.006,-0.008,-0.992,1013.21,1013.25,8.11,0,RIDING,
511,10.200,0.105,0.046,-0.017,0.116,-0.027,-0.077,-0.025,0.086,0.002,-0.002,-1.000,1013.33,1013.25,8.84,0,RIDING,
512,10.220,0.034,-0.001,0.034,0.048,-0.038,0.003,-0.017,0.042,0.013,-0.001,-1.005,1013.30,1013.25,8.13,0,RIDING,
513,10.240,0.002,0.010,-0.018,0.021,0.021,-0.028,-0.082,0.090,0.016,0.004,-1.020,1013.28,1013.25,8.49,0,RIDING,
514,10.260,0.097,-0.054,0.043,0.120,0.109,0.054,-0.054,0.133,0.007,0.006,-1.010,1013.25,1013.25,8.03,0,RIDING,
515,10.280,0.036,0.074,0.064,0.103,-0.032,-0.034,-0.054,0.072,0.000,0.013,-0.997,1013.19,1013.25,8.59,0,RIDING,
516,10.300,-0.025,-0.112,0.121,0.167,0.008,-0.001,-0.049,0.050,-0.009,0.006,-0.994,1013.20,1013.25,8.69,0,RIDING,
517,10.320,-0.030,-0.126,0.032,0.133,0.069,-0.040,-0.061,0.100,-0.006,0.012,-1.003,1013.30,1013.25,8.54,0,RIDING,
518,10.340,0.036,-0.032,-0.058,0.075,0.011,-0.041,-0.087,0.097,0.011,0.021,-0.990,1013.22,1013.25,8.86,0,RIDING,
519,10.360,0.127,0.020,-0.034,0.133,0.023,-0.047,0.036,0.063,-0.008,-0.001,-0.990,1013.23,1013.25,8.58,0,RIDING,
520,10.380,-0.016,-0.053,0.023,0.060,0.043,-0.009,-0.057,0.072,0.010,-0.001,-0.995,1013.17,1013.25,8.11,0,RIDING,
521,10.400,0.084,0.023,0.038,0.095,-0.024,-0.079,0.031,0.088,-0.010,-0.001,-0.980,1013.25,1013.25,8.67,0,RIDING,
522,10.420,-0.064,0.008,0.102,0.121,-0.011,0.007,-0.104,0.105,0.013,-0.001,-1.003,1013.29,1013.25,8.37,0,RIDING,
523,10.440,0.034,-0.018,-0.040,0.056,0.075,0.048,0.006,0.089,0.006,0.001,-0.999,1013.29,1013.25,8.74,0,RIDING,
524,10.460,0.032,0.044,0.028,0.062,-0.027,-0.003,0.022,0.035,0.007,0.002,-1.003,1013.20,1013.25,8.50,0,RIDING,
525,10.480,-0.002,-0.036,0.077,0.085,-0.017,-0.082,-0.057,0.101,-0.005,-0.012,-1.001,1013.26,1013.25,8.56,0,RIDING,
526,10.500,-0.063,-0.051,0.001,0.082,-0.038,0.016,-0.036,0.054,0.014,0.015,-0.991,1013.23,1013.25,8.43,0,RIDING,
527,10.520,-0.058,0.002,0.072,0.092,0.039,-0.080,-0.002,0.089,0.006,-0.005,-0.979,1013.21,1013.25,8.72,0,RIDING,
528,10.540,-0.020,0.191,-0.012,0.193,-0.004,0.092,-0.026,0.095,-0.000,0.005,-1.012,1013.23,1013.25,8.93,0,RIDING,
529,10.560,0.140,0.076,0.028,0.162,0.035,-0.024,-0.022,0.048,0.012,0.008,-0.991,1013.17,1013.25,8.61,0,RIDING,
530,10.580,0.055,-0.072,-0.098,0.134,0.031,0.009,0.048,0.058,0.004,-0.005,-1.015,1013.24,1013.25,8.24,0,RIDING,
531,10.600,-0.048,-0.066,-0.087,0.119,-0.025,0.046,0.113,0.125,0.011,-0.001,-0.996,1013.33,1013.25,8.39,0,RIDING,
532,10.620,-0.050,-0.006,-0.127,0.136,0.088,-0.036,0.029,0.099,-0.011,-0.004,-0.991,1013.22,1013.25,8.58,0,RIDING,
533,10.640,0.047,-0.147,0.067,0.168,-0.062,0.014,0.026,0.068,-0.002,0.004,-0.991,1013.22,1013.25,8.41,0,RIDING,
534,10.660,0.105,0.026,0.153,0.187,-0.046,0.085,-0.013,0.098,0.001,-0.009,-0.996,1013.29,1013.25,8.46,0,RIDING,
535,10.680,0.159,0.013,-0.002,0.159,0.001,0.035,-0.009,0.036,0.013,0.009,-1.010,1013.25,1013.25,8.57,0,RIDING,
536,10.700,-0.047,0.002,0.066,0.081,0.047,-0.009,0.104,0.115,0.014,0.016,-0.998,1013.24,1013.25,8.91,0,RIDING,
537,10.720,0.045,-0.115,-0.139,0.186,-0.028,0.035,0.051,0.068,0.006,0.015,-1.016,1013.24,1013.25,8.80,0,RIDING,
538,10.740,-0.062,-0.075,-0.078,0.125,0.081,-0.043,-0.041,0.100,-0.004,0.007,-0.995,1013.23,1013.25,8.76,0,RIDING,
539,10.760,-0.050,-0.178,-0.072,0.199,-0.058,0.080,-0.033,0.105,0.001,-0.009,-0.989,1013.20,1013.25,8.61,0,RIDING,
540,10.780,0.071,0.022,-0.056,0.093,-0.043,-0.097,0.019,0.107,0.000,0.032,-1.011,1013.27,1013.25,8.23,0,RIDING,
541,10.800,-0.134,0.048,-0.033,0.146,-0.023,0.030,-0.005,0.038,0.011,0.001,-1.021,1013.30,1013.25,8.65,0,RIDING,
542,10.820,0.104,-0.133,0.080,0.187,0.012,-0.065,0.003,0.067,0.001,-0.007,-1.009,1013.29,1013.25,8.20,0,RIDING,
543,10.840,-0.048,0.098,0.054,0.122,-0.001,-0.004,0.007,0.008,-0.017,0.009,-1.008,1013.26,1013.25,8.56,0,RIDING,
544,10.860,-0.197,0.055,-0.091,0.224,-0.007,-0.004,-0.029,0.030,-0.003,-0.009,-1.003,1013.28,1013.25,8.42,0,RIDING,
545,10.880,-0.081,0.004,0.104,0.132,0.049,0.021,-0.064,0.083,0.020,-0.021,-1.000,1013.30,1013.25,8.77,0,RIDING,
546,10.900,-0.024,0.085,-0.082,0.121,-0.019,0.111,0.049,0.123,0.013,-0.006,-0.994,1013.16,1013.25,8.51,0,RIDING,
547,10.920,0.008,-0.110,-0.049,0.121,0.054,0.058,-0.028,0.085,0.002,-0.000,-1.012,1013.31,1013.25,8.30,0,RIDING,
548,10.940,0.025,-0.031,-0.208,0.212,-0.041,-0.040,-0.041,0.070,-0.023,0.009,-0.999,1013.20,1013.25,8.30,0,RIDING,
549,10.960,0.020,-0.020,0.005,0.029,-0.012,-0.054,-0.072,0.091,0.002,0.015,-1.013,1013.25,1013.25,8.79,0,RIDING,
550,10.980,-0.020,-0.049,0.095,0.108,0.083,-0.025,0.036,0.094,-0.001,-0.010,-0.985,1013.24,1013.25,8.21,0,RIDING,
551,11.000,0.046,0.091,0.028,0.106,-0.116,0.039,0.005,0.122,0.010,0.016,-1.010,1013.13,1013.25,8.53,0,RIDING,
552,11.020,0.061,0.026,-0.013,0.067,-0.014,0.026,0.028,0.041,-0.013,0.013,-0.988,1013.28,1013.25,8.38,0,RIDING,
553,11.040,-0.044,-0.002,0.064,0.078,-0.084,0.025,0.116,0.145,0.020,0.000,-0.998,1013.26,1013.25,8.30,0,RIDING,
554,11.060,-0.032,0.014,-0.137,0.142,-0.063,-0.070,0.044,0.104,-0.019,-0.006,-0.986,1013.25,1013.25,8.84,0,RIDING,
555,11.080,-0.062,-0.142,-0.059,0.166,-0.016,-0.001,0.063,0.065,0.006,-0.005,-1.005,1013.32,1013.25,8.95,0,RIDING,
556,11.100,-0.113,0.100,0.096,0.179,0.004,-0.043,0.033,0.054,-0.011,0.002,-1.005,1013.27,1013.25,8.55,0,RIDING,
557,11.120,0.058,0.046,0.035,0.082,-0.020,0.075,0.037,0.086,0.007,0.004,-1.011,1013.31,1013.25,8.74,0,RIDING,
558,11.140,-0.139,-0.074,0.047,0.164,0.045,0.009,0.004,0.046,-0.017,-0.015,-1.003,1013.34,1013.25,8.38,0,RIDING,
559,11.160,0.055,0.057,-0.017,0.081,0.039,-0.002,-0.035,0.052,0.009,-0.011,-1.010,1013.23,1013.25,8.72,0,RIDING,
560,11.180,0.009,0.167,-0.090,0.190,-0.061,0.020,0.025,0.069,0.005,-0.017,-1.000,1013.22,1013.25,8.49,0,RIDING,
561,11.200,0.047,0.071,0.091,0.125,-0.003,-0.071,0.064,0.096,0.010,0.010,-1.001,1013.29,1013.25,8.32,0,RIDING,
562,11.220,-0.181,-0.037,-0.058,0.194,-0.041,-0.004,-0.053,0.067,-0.011,0.010,-1.005,1013.27,1013.25,9.06,0,RIDING,
563,11.240,0.043,-0.010,0.101,0.110,-0.034,0.036,-0.037,0.062,0.011,-0.015,-1.013,1013.26,1013.25,8.50,0,RIDING,
564,11.260,0.107,0.030,0.130,0.171,-0.050,0.010,0.030,0.059,-0.004,0.007,-1.001,1013.33,1013.25,8.48,0,RIDING,
565,11.280,-0.059,0.058,-0.149,0.171,-0.049,0.067,-0.024,0.086,0.011,0.005,-1.009,1013.23,1013.25,8.61,0,RIDING,
566,11.300,-0.044,0.082,-0.009,0.093,-0.031,0.042,0.056,0.076,-0.007,-0.007,-0.997,1013.35,1013.25,8.18,0,RIDING,
567,11.320,-0.037,0.086,-0.210,0.230,0.046,-0.031,-0.013,0.057,-0.010,0.014,-0.994,1013.28,1013.25,8.56,0,RIDING,
568,11.340,-0.038,0.016,-0.085,0.094,-0.060,-0.014,0.018,0.064,-0.013,-0.016,-0.985,1013.25,1013.25,8.27,0,RIDING,
569,11.360,0.029,-0.061,0.093,0.115,0.026,-0.020,-0.029,0.044,0.016,0.003,-1.006,1013.31,1013.25,8.59,0,RIDING,
570,11.380,-0.046,-0.055,0.019,0.074,0.012,0.029,0.022,0.039,-0.009,0.005,-1.013,1013.20,1013.25,8.44,0,RIDING,
571,11.400,-0.045,-0.066,-0.048,0.093,-0.012,0.074,-0.012,0.076,0.007,0.005,-0.998,1013.18,1013.25,8.41,0,RIDING,
572,11.420,0.153,0.086,0.007,0.176,0.059,-0.064,-0.008,0.088,0.016,-0.005,-0.985,1013.21,1013.25,8.55,0,RIDING,
573,11.440,-0.080,0.109,-0.132,0.189,-0.041,0.049,-0.004,0.064,0.002,-0.002,-1.010,1013.26,1013.25,8.50,0,RIDING,
574,11.460,-0.022,0.009,-0.069,0.073,0.023,0.085,-0.080,0.118,0.000,0.001,-1.007,1013.22,1013.25,8.42,0,RIDING,
575,11.480,-0.003,0.000,-0.007,0.007,0.074,0.006,-0.071,0.103,-0.003,-0.006,-1.013,1013.17,1013.25,8.67,0,RIDING,
576,11.500,-0.024,-0.007,-0.053,0.058,-0.017,0.043,0.038,0.060,-0.013,0.008,-0.986,1013.28,1013.25,8.45,0,RIDING,
577,11.520,0.099,0.089,0.022,0.135,0.018,-0.001,0.060,0.063,0.008,-0.003,-1.000,1013.24,1013.25,9.12,0,RIDING,
578,11.540,-0.123,-0.057,-0.023,0.138,0.119,-0.039,0.045,0.133,0.006,-0.019,-0.991,1013.25,1013.25,8.41,0,RIDING,
579,11.560,0.150,0.023,-0.005,0.152,0.008,0.032,-0.023,0.041,-0.003,0.004,-0.997,1013.26,1013.25,8.65,0,RIDING,
580,11.580,0.055,-0.077,-0.041,0.103,-0.021,0.057,0.012,0.062,0.019,0.003,-1.012,1013.17,1013.25,8.13,0,RIDING,
581,11.600,-0.071,0.011,0.111,0.132,0.078,-0.018,-0.014,0.081,0.015,0.003,-0.999,1013.34,1013.25,8.22,0,RIDING,
582,11.620,0.099,0.038,-0.064,0.124,-0.074,0.001,0.025,0.078,0.013,0.006,-0.985,1013.32,1013.25,7.74,0,RIDING,
583,11.640,0.062,0.016,0.034,0.072,0.019,-0.030,-0.005,0.036,-0.014,-0.014,-0.995,1013.26,1013.25,8.37,0,RIDING,
